id_usuario,nombre_de_usuario,contrasena,preg_recup,resp_recup
1,stefano,contra123,hoal,hola1,av 123
2,stefano,da0222adada""",22""",""Weqda,e1e112e1sa
3,bruno,contra1234,hola1,hola2,hola 123
4,facu,facu123,hola1111,chau1111,holaaa1111
5,stefano,contra123,hola,hola22,av 123
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
2,stefano,contra1,contra1,cq,sa
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
2,stefanoc,contra1,contra1,contra1,contra1
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
1,Juan,password1,Color favorito?,Azul,Calle Falsa 123
